name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
krebet senggrong,2023-11-10T00:00:00,18.9,18.9,17.4,91.01,0,0,,0,0,3.2,2.5,114.2,1014,100,24.1,0,0,0,10,Overcast,cloudy,remote
krebet senggrong,2023-11-10T01:00:00,18.6,18.6,17.3,92.15,0,0,,0,0,3.2,1.8,113.3,1014,100,24.1,0,0,0,10,Overcast,cloudy,remote
krebet senggrong,2023-11-10T02:00:00,18.5,18.5,17.1,91.56,0,0,,0,0,4,2.9,127.2,1013,100,24.1,0,0,0,10,Overcast,cloudy,remote
krebet senggrong,2023-11-10T03:00:00,18.6,18.6,16.9,89.84,0,0,,0,0,4.7,3.6,125,1013,100,24.1,0,0,0,10,Overcast,cloudy,remote
krebet senggrong,2023-11-10T04:00:00,18.7,18.7,16.7,88.16,0,0,,0,0,4.7,3.6,132.7,1014,100,24.1,0,0,0,10,Overcast,cloudy,remote
krebet senggrong,2023-11-10T05:00:00,18.5,18.5,16.5,88.14,0,0,,0,0,3.6,2.5,126.5,1014,80.3,24.1,0,0,0,10,Partially cloudy,partly-cloudy-day,remote
krebet senggrong,2023-11-10T06:00:00,20.3,20.3,17,81.34,0,0,,0,0,5,1.8,140.6,1015,96.1,24.1,67,0.2,1,10,Overcast,cloudy,remote
krebet senggrong,2023-11-10T07:00:00,23.5,23.5,17.2,67.76,0,0,,0,0,6.8,4.7,222,1015,81.3,24.1,272,1,3,10,Partially cloudy,partly-cloudy-day,remote
krebet senggrong,2023-11-10T08:00:00,25.9,25.9,17.1,58.33,0,0,,0,0,6.8,6.8,233.6,1015,18.5,24.1,521,1.9,5,10,Clear,clear-day,remote
krebet senggrong,2023-11-10T09:00:00,28.4,28.7,16.6,48.8,0,0,,0,0,7.6,7.9,247.6,1014,90.7,24.1,789,2.8,8,10,Overcast,cloudy,remote
krebet senggrong,2023-11-10T10:00:00,30,29.9,15.9,42.55,0,0,,0,0,9.4,9.4,257.6,1013,94.8,24.1,928,3.3,9,10,Overcast,cloudy,remote
krebet senggrong,2023-11-10T11:00:00,31.2,30.9,15.5,38.72,0.1,100,rain,0,0,8.6,9.4,247.1,1012,99.1,22.6,959,3.5,10,10,"Rain, Overcast",rain,remote
krebet senggrong,2023-11-10T12:00:00,29.3,29.5,16.4,45.73,0.3,100,rain,0,0,9.4,10.8,186,1011,100,21.9,478,1.7,5,10,"Rain, Overcast",rain,remote
krebet senggrong,2023-11-10T13:00:00,23.8,23.8,18.9,74.05,1.3,100,rain,0,0,15.8,10.1,139.7,1012,100,6.9,140,0.5,1,10,"Rain, Overcast",rain,remote
krebet senggrong,2023-11-10T14:00:00,24,24,19,73.62,0.7,100,rain,0,0,6.1,5.4,127.2,1012,98,8,202,0.7,2,10,"Rain, Overcast",rain,remote
krebet senggrong,2023-11-10T15:00:00,23.6,23.6,19.5,77.8,2.5,100,rain,0,0,8.3,5,200.5,1012,99.3,6.1,178,0.6,2,10,"Rain, Overcast",rain,remote
krebet senggrong,2023-11-10T16:00:00,22.6,22.6,19.8,84.21,2.5,100,rain,0,0,9.7,5,210.8,1012,100,8.3,99,0.4,1,10,"Rain, Overcast",rain,remote
krebet senggrong,2023-11-10T17:00:00,21.6,21.6,19.7,88.95,2.7,100,rain,0,0,11.2,6.5,179.7,1013,98,5.7,36,0.1,0,10,"Rain, Overcast",rain,remote
krebet senggrong,2023-11-10T18:00:00,21.3,21.3,19.8,91.16,1.4,100,rain,0,0,7.2,4,150.7,1014,88.2,8.5,1,0,0,10,"Rain, Partially cloudy",rain,remote
krebet senggrong,2023-11-10T19:00:00,21.2,21.2,19.7,91.16,1.1,100,rain,0,0,9.7,4.7,194.6,1014,100,7.1,0,0,0,10,"Rain, Overcast",rain,remote
krebet senggrong,2023-11-10T20:00:00,20.6,20.6,19.8,95.17,0,0,rain,0,0,9,5,232.7,1015,100,5.9,0,0,0,10,Overcast,cloudy,remote
krebet senggrong,2023-11-10T21:00:00,20.1,20.1,19.8,98.16,0.3,100,rain,0,0,2.9,2.2,226.1,1016,99.5,20.3,0,0,0,10,"Rain, Overcast",rain,remote
krebet senggrong,2023-11-10T22:00:00,20.5,20.5,19.9,96.36,0.3,100,rain,0,0,2.2,1.4,194.7,1015,98.6,24.1,0,0,0,10,"Rain, Overcast",rain,remote
krebet senggrong,2023-11-10T23:00:00,20.6,20.6,19.8,95.17,0,0,,0,0,2.5,1.8,161.9,1014,95.6,24.1,0,0,0,10,Overcast,cloudy,remote
krebet senggrong,2023-11-11T00:00:00,20.6,20.6,19.7,94.58,0,0,,0,0,2.5,2.2,186.8,1014,98,24.1,0,0,0,10,Overcast,cloudy,remote
krebet senggrong,2023-11-11T01:00:00,20.5,20.5,19.7,95.17,0.2,100,rain,0,0,2.5,2.2,206.4,1013,96.8,24.1,0,0,0,10,"Rain, Overcast",rain,remote
krebet senggrong,2023-11-11T02:00:00,20.4,20.4,19.6,95.17,0,0,,0,0,2.9,2.2,196.7,1013,48.1,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
krebet senggrong,2023-11-11T03:00:00,19.9,19.9,19.3,96.34,0,0,,0,0,2.9,2.2,182.5,1013,35.6,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
krebet senggrong,2023-11-11T04:00:00,19.7,19.7,19.2,96.94,0,0,,0,0,3.6,2.9,186.7,1014,14.3,24.1,0,0,0,10,Clear,clear-night,remote
krebet senggrong,2023-11-11T05:00:00,19.3,19.3,19,98.15,0,0,,0,0,4,3.2,180.2,1015,11.1,22.7,0,0,0,10,Clear,clear-day,remote
krebet senggrong,2023-11-11T06:00:00,20.8,20.8,19.4,91.7,0,0,,0,0,5.4,2.9,202.2,1015,87.4,22.1,68,0.2,1,10,Partially cloudy,partly-cloudy-day,remote
krebet senggrong,2023-11-11T07:00:00,22.7,22.7,19.7,83.18,0,0,,0,0,6.8,5,227.1,1015,100,24.1,280,1,3,10,Overcast,cloudy,remote
krebet senggrong,2023-11-11T08:00:00,24.7,24.7,19.4,72.38,0,0,,0,0,6.8,6.1,229.5,1015,61.4,24.1,512,1.8,5,10,Partially cloudy,partly-cloudy-day,remote
krebet senggrong,2023-11-11T09:00:00,27.2,28.3,18.8,60.13,0.1,100,rain,0,0,6.8,7.6,239.3,1015,97.5,23.7,761,2.7,8,10,"Rain, Overcast",rain,remote
krebet senggrong,2023-11-11T10:00:00,28,29,18.6,56.66,0.4,100,rain,0,0,5.4,6.8,241.1,1014,100,9.4,878,3.2,9,10,"Rain, Overcast",rain,remote
krebet senggrong,2023-11-11T11:00:00,27.6,28.8,19,59.47,0.9,100,rain,0,0,6.5,10.1,208.2,1014,97.2,10.4,965,3.5,10,10,"Rain, Overcast",rain,remote
krebet senggrong,2023-11-11T12:00:00,27,28.4,19.8,64.75,0.7,100,rain,0,0,9,11.5,202.7,1013,64.3,12,944,3.4,9,30,"Rain, Partially cloudy",rain,remote
krebet senggrong,2023-11-11T13:00:00,27.3,28.6,19.5,62.44,1,100,rain,0,0,8.3,10.8,193.5,1012,42.3,9.3,814,2.9,8,30,"Rain, Partially cloudy",rain,remote
krebet senggrong,2023-11-11T14:00:00,27.3,28.6,19.4,62.05,0,0,rain,0,0,7.9,8.6,193.1,1011,16.9,12,702,2.5,7,30,Clear,clear-day,remote
krebet senggrong,2023-11-11T15:00:00,26,26,20,69.54,1.3,100,rain,0,0,6.5,9,205.4,1011,17.6,11.7,620,2.2,6,30,Rain,rain,remote
krebet senggrong,2023-11-11T16:00:00,24,24,20.8,82.31,1.6,100,rain,0,0,9.4,9,221.5,1012,44.5,6.2,389,1.4,4,30,"Rain, Partially cloudy",rain,remote
krebet senggrong,2023-11-11T17:00:00,22.4,22.4,20.7,90.12,1.1,100,rain,0,0,9.7,5.8,192,1013,57.5,19.4,141,0.5,1,30,"Rain, Partially cloudy",rain,remote
krebet senggrong,2023-11-11T18:00:00,21.3,21.3,20.3,94.03,1.5,100,rain,0,0,8.6,5.8,136.4,1013,13.9,6.5,6,0,0,10,Rain,rain,remote
krebet senggrong,2023-11-11T19:00:00,21.1,21.1,19.9,92.86,1.2,100,rain,0,0,6.1,3.6,146.8,1014,14.8,8.2,0,0,0,10,Rain,rain,remote
krebet senggrong,2023-11-11T20:00:00,20.9,20.9,19.9,94.01,0,0,rain,0,0,3.2,1.4,187.8,1015,25.8,8.3,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
krebet senggrong,2023-11-11T21:00:00,20.6,20.6,20,96.36,0.2,100,rain,0,0,2.5,1.8,228.5,1015,31,8.1,0,0,0,10,"Rain, Partially cloudy",rain,remote
krebet senggrong,2023-11-11T22:00:00,20.5,20.5,20,96.96,0.3,100,rain,0,0,2.2,0.4,42.5,1015,37.5,24.1,0,0,0,10,"Rain, Partially cloudy",rain,remote
krebet senggrong,2023-11-11T23:00:00,20.3,20.3,19.8,96.95,0,0,,0,0,1.8,1.4,91.1,1015,40.4,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote